HID043;CRYSTAL COVE;26;888 TRAN HUNG DAO, PHUONG 2, QUAN 10;0967890123;4
HID044;LUXURY LAGOON;24;444 PASTEUR, PHUONG 10, QUAN 4;0978901234;5
HID045;ROYAL RIDGE;30;111 NGUYEN THI MINH KHAI, PHUONG 3, QUAN 8;0989012345;4
HID046;SAPPHIRE SANDS;45;555 VO VAN TAN, PHUONG 5, QUAN 1;0990123456;5
HID047;CRYSTAL CREST;50;1504 NAM KY KHOI NGHIA, QUAN 1;0902345678;4
HID048;APEX ABODE;49;49/43 LE VAN SY, PHUONG 7, QUAN 3;0913456789;5
HID049;VIBRANT VISTA;50;120 NGUYEN VAN LINH, PHUONG TAN SON, QUAN 7;0924567890;4
HID050;GRAND GROVE;120;285 LE VAN TAM, PHUONG 8, QUAN 10;0935678901;5
HID051;LANDMARK 81 PANORAMA;43;720A DIEN BIEN PHU, QUAN BINH THANH;0987122389;2
HID052;CALI HOTEL & APARTMENT;254;59 DINH BO LINH, QUAN BINH THANH;0345822343;3
HID053;GRAND LEE HOTEL;66;137/8 BINH QUOI, QUAN BINH THANH;0324719218;1
HID054;OAKWOOD HOTEL & APARTMENTS ;324;330A - 330B UNG VAN KHIEM, PHUONG 25, QUAN BINH THANH;0234822389;4
HID055;KUNKIN LUXURY HOTEL;89;46/24 NGUYEN CUU VAN, PHUONG 17, QUAN BINH THANH;0345722389;5
HID056;IBIS SAIGON;151;2 HONG HA, QUAN GO VAP;0234581278;4
HID057;GOLF STAR HOTEL;134;848 QUANG TRUNG, PHUONG 8, QUAN GO VAP;0234581278;5
HID058;PHU AN HOTEL;166;16-18 LE DUC THO, PHUONG 7, QUAN GO VAP;0235233932;2
HID059;HOA BAO HOTEL;100;120 LE DUC THO, PHUONG 15, QUAN GO VAP;0235899218;1
HID060;GOLDEN STAR HOTEL;351;62-60 LE THANH TON, QUAN GO VAP;0124891278;3
HID061;NHANGIOI;20;180/20 Bui Van Nam;0000000009;5
